0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:07:35 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:08:29 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:10:00 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:12:42 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:12:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:12:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:12:46 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 24344
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/main_logo.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D1.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D4.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D5.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/top25.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/1.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/2.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/3.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/4.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:18:13:15 +0900] "GET /BBS/images/logo/board.png HTTP/1.1" 404 1111
